Address,Latitude,Longitude,APC,LP,PDP,NNPP
"OBU OKPALA SQUARE II, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,1,129,5,2
"NKWO MARKET SQUARE I, AWKA SOUTH, ANAMBRA",6.1413224,7.0728009,0,0,0,0
"NKWO MARKET SQUARE II, AWKA SOUTH, ANAMBRA",6.1413224,7.0728009,0,0,0,0
"NKWO MARKET SQUARE III, AWKA SOUTH, ANAMBRA",6.1413224,7.0728009,2,110,2,0
"NKWO MARKET SQUARE IV, AWKA SOUTH, ANAMBRA",6.1413224,7.0728009,2,144,7,1
"AFOR MARKET SQUARE I, AWKA SOUTH, ANAMBRA",6.1836835,7.1165898,4,163,2,1
"AFOR MARKET SQUARE II, AWKA SOUTH, ANAMBRA",6.1836835,7.1165898,2,122,1,0
"AFOR MARKET SQUARE III, AWKA SOUTH, ANAMBRA",6.1836835,7.1165898,1,145,2,0
"AFOR MARKET SQUARE III, AWKA SOUTH, ANAMBRA",6.1836835,7.1165898,1,97,1,1
"AFOR MARKET SQUARE III, AWKA SOUTH, ANAMBRA",6.1836835,7.1165898,1,67,69,0
"AFOR MARKET SQUARE III, AWKA SOUTH, ANAMBRA",6.1836835,7.1165898,7,113,3,0
"EZI EDWARD SQUARE II, AWKA SOUTH, ANAMBRA",6.1351774,7.082285,3,88,2,0
"EZI EDWARD SQAURE III, AWKA SOUTH, ANAMBRA",6.1351774,7.082285,3,63,1,0
"EZI EDWARD SQAURE III, AWKA SOUTH, ANAMBRA",6.1351774,7.082285,2,80,0,0
"COUNCIL SCHOOL, URU I, AWKA SOUTH, ANAMBRA",6.2212592,7.0827159,1,92,3,0
"COUNCIL SCHOOL, URU II, AWKA SOUTH, ANAMBRA",6.2212592,7.0827159,2,54,0,0
"CENTRAL SCHOOL I, AWKA SOUTH, ANAMBRA",6.2212592,7.0827159,1,255,7,0
"CENTRAL SCHOOL II, AWKA SOUTH, ANAMBRA",6.2212592,7.0827159,0,150,1,0
"AKABOR VILLAGE HALL I, AWKA SOUTH, ANAMBRA",6.237463,7.1090215,1,211,3,0
"AKABOR VILLAGE HALL II, AWKA SOUTH, ANAMBRA",6.237463,7.1090215,1,168,2,1
"AKABOR VILLAGE HALL III, AWKA SOUTH, ANAMBRA",6.237463,7.1090215,2,155,1,2
"AKABOR VILLAGE HALL III, AWKA SOUTH, ANAMBRA",6.237463,7.1090215,2,122,3,1
"EKE NIBO SQUARE, AWKA SOUTH, ANAMBRA",6.172039,7.0675935,2,145,0,0
"EKE NIBO SQUARE, AWKA SOUTH, ANAMBRA",6.172039,7.0675935,0,113,0,0
"UMUNNAKWE HALL I, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,5,91,2,0
"UMUNNAKWE HALL II, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,4,104,1,0
"EZI NWANKWO PRY. SCHOOL I, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,1,163,1,0
"EZI NWANKWO PRY. SCHOOL I, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,4,158,9,2
"EZI NWANKWO PRY. SCHOOL III, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,2,145,1,0
"EZIKE PRY. SCHOOL I, AWKA SOUTH, ANAMBRA",6.1718168,7.061012,2,120,5,0
"EZIKE PRY. SCHOOL II, AWKA SOUTH, ANAMBRA",6.1718168,7.061012,0,154,0,0
"UMUKA HALL I, AWKA SOUTH, ANAMBRA",6.2060148,7.074944,2,118,1,0
"UMUKA HALL I, AWKA SOUTH, ANAMBRA",6.2060148,7.074944,4,114,1,2
"EZIKE HIGH SCHOOL I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,2,271,1,1
"EZIKE HIGH SCHOOL II, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,1,209,1,2
"UMUNONO HALL I, AWKA SOUTH, ANAMBRA",6.1819033,7.0641674,2,171,6,1
"UMUNONO HALL II, AWKA SOUTH, ANAMBRA",6.1819033,7.0641674,2,215,2,0
"MATERNITY PREMISES I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,2,146,4,0
"MATERNITY PREMISES II, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,1,300,3,0
"OBUNZEKWE SQUARE I, AWKA SOUTH, ANAMBRA",6.1842067,7.0659655,2,111,3,0
"OBUNZEKWE SQUARE II, AWKA SOUTH, ANAMBRA",6.1842067,7.0659655,0,96,0,0
"EZI OKPORA SQUARE, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,98,1,0
"ENUGO UMUNONO I, AWKA SOUTH, ANAMBRA",6.1819033,7.0641674,1,113,3,0
"ENUGO UMUNONO II, AWKA SOUTH, ANAMBRA",6.1819033,7.0641674,1,128,0,0
"OBU UBOSI SQUARE, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,3,102,3,0
"UMUEKE ILE HALL I, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,1,73,1,0
"UMUEKE ILE HALL II, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,0,94,1,0
"OBINWANNE PRY. SCHOOL I, AWKA SOUTH, ANAMBRA",6.1850141,7.0801735,2,115,3,1
"OBINWANNE PRY. SCHOOL II, AWKA SOUTH, ANAMBRA",6.1850141,7.0801735,6,100,1,0
"EBEDE NGENE UDO II, AWKA SOUTH, ANAMBRA",6.1984672,7.0594355,0,69,2,0
"NKWO UMUAGBOGHOBIA I, AWKA SOUTH, ANAMBRA",6.1912433,7.0759678,0,201,5,0
"NKWO UMUAGBOGHOBIA II, AWKA SOUTH, ANAMBRA",6.1912433,7.0759678,0,198,1,0
"URUANA HALL I, AWKA SOUTH, ANAMBRA",6.1737141,7.0688778,0,201,0,0
"URUANA HALL II, AWKA SOUTH, ANAMBRA",6.1737141,7.0688778,1,165,2,0
"URUANA HALL II, AWKA SOUTH, ANAMBRA",6.1737141,7.0688778,1,130,3,0
"EZIELLE SQUARE II, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,81,2,0
"EZI EBENEBE SQUARE I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,1,74,1,0
"EZI EBENEBE SQUARE II, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,1,30,1,0
"EZI EBENEBE SQUARE III, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,49,0,0
"EZI EGBE SQUARE I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,2,109,0,0
"EZI EGBE SQUARE II, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,0,69,0,0
"ISI AKPU HALL I, AWKA SOUTH, ANAMBRA",6.15263,7.0463133,1,249,1,1
"ISI AKPU HALL II, AWKA SOUTH, ANAMBRA",6.15263,7.0463133,0,173,3,1
"EKE AFOR MARKET SQUARE I, AWKA SOUTH, ANAMBRA",6.1563848,7.0521927,0,252,2,3
"EKE AFOR MARKET SQUARE II, AWKA SOUTH, ANAMBRA",6.1563848,7.0521927,0,269,1,0
"W.A.E.C SQUARE I, AWKA SOUTH, ANAMBRA",6.1981049,7.0683454,0,78,0,2
"W.A.E.C SQUARE II, AWKA SOUTH, ANAMBRA",6.1981049,7.0683454,0,39,0,0
"EZI EZENWAKA SQUARE I, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,1,156,2,0
"EZI EZENWAKA SQUARE II, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,0,146,1,1
"NGENE NKWO SQUARE I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,83,3,0
"NGENE NKWO SQUARE II, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,83,3,0
"UMUAZU HALL I, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,4,228,3,0
"UMUAZU HALL I, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,1,241,6,0
"UMUNONO HALL I, AWKA SOUTH, ANAMBRA",6.1819033,7.0641674,5,192,2,1
"UMUEZEOKPALA SQUARE, AWKA SOUTH, ANAMBRA",6.2125736,7.0745306,1,151,9,1
"AFOR OKPUNO, AWKA SOUTH, ANAMBRA",6.2473259,7.0619444,0,136,3,0
"EBE IRU OFFIA SQUARE I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,100,5,0
"EBE IRU OFFIA SQUARE II, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,0,234,6,0
"EBE IRUNONO SQUARE III, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,3,109,3,0
"EZI EBE OKOCHI SQUARE, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,2,178,3,0
"EZI EBE OKOCHI SQUARE, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,2,98,1,0
"EZI EBE OKOCHI SQUARE, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,2,256,5,0
"NODU VILLAGE HALL II, AWKA SOUTH, ANAMBRA",6.2324502,7.0701167,0,501,3,1
"OKOCHI VILLAGE HALL, AWKA SOUTH, ANAMBRA",6.237463,7.1090215,1,187,5,1
"OYE UMUENU SQUARE I, AWKA SOUTH, ANAMBRA",6.1274565,7.0779892,0,82,3,0
"OYE UMUENU SQUARE II, AWKA SOUTH, ANAMBRA",6.1274565,7.0779892,1,62,2,1
"COMMUNITY SCHOOL I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,58,0,0
"COMMUNITY SCHOOL III, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,70,0,0
"AGBANA VILLAGE HALL I, AWKA SOUTH, ANAMBRA",6.237463,7.1090215,1,119,9,0
"CENTRAL SCHOOL I, AWKA SOUTH, ANAMBRA",6.2212592,7.0827159,0,164,1,0
"CENTRAL SCHOOL II, AWKA SOUTH, ANAMBRA",6.2212592,7.0827159,0,79,2,0
"CENTRAL SCHOOL III, AWKA SOUTH, ANAMBRA",6.2212592,7.0827159,1,120,5,0
"ENUGWU VILLAGE HALL I, AWKA SOUTH, ANAMBRA",6.1719594,7.0303542,0,169,3,0
"ENUGWU VILLAGE HALL II, AWKA SOUTH, ANAMBRA",6.1719594,7.0303542,1,118,4,0
"ENUGWU VILLAGE HALL III, AWKA SOUTH, ANAMBRA",6.1719594,7.0303542,0,123,5,0
"ENUGWU VILLAGE HALL IV, AWKA SOUTH, ANAMBRA",6.1719594,7.0303542,1,107,3,0
"UMUENU VILLAGE HALL I, AWKA SOUTH, ANAMBRA",6.1274565,7.0779892,0,216,3,0
"CENTRAL SCHOOL I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,190,5,1
"CENTRAL SCHOOL II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,160,4,2
"CENTRAL SCHOOL III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,147,2,0
"CENTRAL SCHOOL III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,178,5,2
"AKWA VILLAGE HALL III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,148,1,8,0
"ILOAMAOBIALU SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,72,1,0
"ILOKWUJELU SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,4,48,3,0
"ILOKWUJELU SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,40,2,1
"UKPOMILI HALL I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,141,3,0
"UKPOMILI HALL II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,83,3,0
"UKPOMILI HALL III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,19,26,39,3
"AGUORJI P/S I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,147,0,0
"AGUORJI P/S II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,142,0,1
"AGUORJI P/S III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,124,0,0
"ST. MARY'S SCHOOL I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,3,164,1,1
"ST. MARY'S SCHOOL II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,3,162,0,0
"OBIEZE VILLAGE SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,220,6,1
"OBIEZE VILLAGE SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,133,2,0
"OBIEZE VILLAGE SQUARE III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,106,0,0
"OBIEZE VILLAGE SQUARE IV, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,115,2,0
"NNEAMAKA SEC. SCHOOL I, DUNUKOFIA, ANAMBRA",6.2109548,6.9527619,1,105,7,1
"NNEAMAKA SEC. SCHOOL II, DUNUKOFIA, ANAMBRA",6.2109548,6.9527619,0,151,3,0
"ST. MARTINS P/S I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,7,168,3,0
"ST. MARTINS P/S II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,186,3,0
"OZALA P/S I, DUNUKOFIA, ANAMBRA",6.2080732,6.9478618,0,300,0,0
"OZALA P/S II, DUNUKOFIA, ANAMBRA",6.2080732,6.9478618,8,205,5,1
"ILONGWU SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,82,2,0
"ILONGWU SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,86,0,0
"ILOAMASATO SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,0,0,0
"ILOAMASATO SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,83,4,0
"ILOAMASATO SQUARE III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,84,0,0
"IRUKA P/S I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,102,0,0
"IRUKA P/S II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,78,0,1
"OKWUDILI HALL I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,114,1,1
"ANIOMA SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,4,128,1,0
"ANIOMA SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,3,101,2,1
"EBE IFITEORA HALL, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,112,0,0
"EBE AKWAESO HALL, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,134,0,0
"EZIMEZI SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,93,4,1
"EZIMEZI SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,107,1,1
"COMMUNITY P/S I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,115,3,0
"COMMUNITY P/S II, DUNUKOFIA, ANAMBRA",6.2582446,7.0332016,1,103,0,1
"EBE OLLOR SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,110,1,0
"EBE OLLOR SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,36,18,1,0
"UNITY P/S I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,3,160,3,0
"UNITY P/S II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,94,4,0
"UNITY P/S III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,111,6,0
"UNITY P/S IV, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,54,6,0
"EKWUEME HALL I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,164,9,0
"EKWUEME HALL II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,148,8,1
"EKWUEME HALL III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,0,11,144
"AKWETE SEC. SCHOOL I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,73,6,0
"AKWETE SEC. SCHOOL II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,22,3,0
"AKWETE SEC. SCHOOL III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,60,8,0
"IRUOKWUMENE SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,93,1,0
"IRUOKWUMENE SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,51,1,2
"IRUOKWUMENE SQUARE III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,118,1,0
"IRUAGU SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,130,5,0
"IRUAGU SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,110,3,0
"AGUAFOR P/S I, DUNUKOFIA, ANAMBRA",6.1897522,6.9609255,0,95,11,0
"AGUAFOR P/S II, DUNUKOFIA, ANAMBRA",6.1897522,6.9609255,0,94,2,0
"OKPATU MEM. SCHOOL I, DUNUKOFIA, ANAMBRA",6.1938756,6.9713512,0,86,3,1
"OKPATU MEM. SCHOOL II, DUNUKOFIA, ANAMBRA",6.1938756,6.9713512,1,105,1,1
"IRUBUCHI KINDERGATEN I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,85,9,0
"IRUBUCHI KINDERGATEN II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,112,3,0
"EBEOGIDI ISIEKWULU I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,155,10,2
"EBEOGIDI ISIEKWULU II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,153,5,2
"OBIOMA P/S I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,117,1,0
"OBIOMA P/S II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,111,6,0
"OBIOMA P/S III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,121,7,0
"CENTRAL SCHOOL I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,185,10,1
"CENTRAL SCHOOL II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,136,0,0
"OBUNAGU AKPU SQUARE II, DUNUKOFIA, ANAMBRA",6.2086195,7.0581183,1,75,3,0
"OBUNAGU AKPU SQUARE III, DUNUKOFIA, ANAMBRA",6.2086195,7.0581183,0,176,0,0
"EBEOGIDI SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,3,127,18,0
"EBEOGIDI SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,169,5,0
"B.S.S UKPO I, DUNUKOFIA, ANAMBRA",6.1984992,6.9719387,0,54,6,0
"B.S.S. UKPO II, DUNUKOFIA, ANAMBRA",6.1938756,6.9713512,1,28,1,0
"NCHEKE SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,112,2,1
"NCHEKE SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,79,4,0
"NCHEKE SQUARE III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,93,1,0
"AMUGU KINDERGATEN I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,46,3,0
"AMUGU KINDERGATEN II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,0,0,0
"OBINWANNE HALL I, DUNUKOFIA, ANAMBRA",6.2735916,6.9719184,0,0,0,0
"AMA AKPAKA HALL I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,142,1,0
"AMA AKPAKA HALL II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,121,0,0
"AMA ADAGBE HALL I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,142,1,0
"AMA ADAGBE HALL I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,121,0,0
"UDODIMMA P/S II, DUNUKOFIA, ANAMBRA",6.2486748,6.9772607,0,106,0,0
"EBEISI UKWULU III, DUNUKOFIA, ANAMBRA",6.2735916,6.9719184,0,85,1,0
"UMUEZEKWO HALL I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,109,2,0
"UMUEZEKWO HALL II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,133,1,1
"OKPURU UMUEZEKWO I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,139,1,0
"OKPURU UMUEZEKWO II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,124,0,0
"URUWOWELLE SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,12,117,14,2
"URUWOWELLE SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,93,1,0
"URUAGU C/S I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,188,2,1
"ABOR P/S, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,82,1,0
"UMUEZECHUA P/S I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,109,2,0
"AKPOM SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,104,1,0
"AKPOM SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,217,3,0
"AFORIGWE P/S II, DUNUKOFIA, ANAMBRA",6.1649566,6.9201214,0,211,2,0
"ST. MICHAEL'S SCHOOL I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,98,0,0
"ILOUMUCHIGBO SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,3,126,4,0
"ILOUMUCHIGBO SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,83,0,0
"OBALAORA SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,40,0,0
"NAGBANA VILLAGE SQUARE I, DUNUKOFIA, ANAMBRA",6.1579455,6.9309055,4,103,1,0
"NAGBANA VILLAGE SQUARE III, DUNUKOFIA, ANAMBRA",6.1579455,6.9309055,3,104,2,1
"NWAYOBUIJE HALL I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,155,0,0
"NWAYOBUIJE HALL II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,202,1,1
"NWAYOBUIJE HALL III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,120,4,0
"NWAYOBUIJE HALL IV, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,22,0,0
"ILOAGU SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,17,232,4,0
"ILOAGU SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,10,163,2,0
"OBIECHI P/S I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,181,9,0
"OBIECHI P/S II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,177,3,1
"UMUEZE EZIAGU SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,3,155,1,0
"UMUEZE EZIAGU SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,154,0,0
"ILOAGU SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,121,4,0
"ILOAGU SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,9,119,2,1
"ILOAGU SQUARE III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,16,164,4,0
"ILOAROAGU II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,117,0,1
"CENTRAL SCHOOL I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,3,239,6,1
"CENTRAL SCHOOL II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,214,6,0
"OKA VILLAGE HALL I, EKWUSIGO, ANAMBRA",5.9565942,6.8511814,1,176,3,1
"ENUGWU AJA VILLAGE HALL I, EKWUSIGO, ANAMBRA",5.9564541,6.854074,1,184,10,1
"UMUNAKWA HALL I, EKWUSIGO, ANAMBRA",5.9381,6.8745,0,135,1,0
"UMUNAKWA HALL II, EKWUSIGO, ANAMBRA",5.9381,6.8745,0,132,1,0
"OTUKWE HALL, EKWUSIGO, ANAMBRA",5.9375942,6.8650699,1,211,8,0
"ST. PHILIPS PLAY GROUND I, EKWUSIGO, ANAMBRA",5.9565942,6.8511814,1,83,0,0
"ST. PHILIPS PLAY GROUND II, EKWUSIGO, ANAMBRA",5.9565942,6.8511814,0,71,0,0
"NDEGWU SQUARE, EKWUSIGO, ANAMBRA",5.9565942,6.8511814,1,79,16,0
"UNITY PRY. SCHOOL, EKWUSIGO, ANAMBRA",5.9565942,6.8511814,0,85,1,0
"ST. MARY'S ISINGWU, EKWUSIGO, ANAMBRA",5.9565942,6.8511814,1,211,0,1
"CENTRAL SCHOOL NKWO EDO I, EKWUSIGO, ANAMBRA",6.0067589,6.8617061,0,78,0,0
"OKPUNO HALL, IBOLO I, EKWUSIGO, ANAMBRA",6.0271064,6.9132946,0,127,0,0
"IFITE COMMUNITY SCHOOL, EKWUSIGO, ANAMBRA",6.0302205,6.8339275,1,108,1,0
"IREFI CENTRAL SCHOOL III, EKWUSIGO, ANAMBRA",5.9565942,6.8511814,0,118,2,0
"OGBE SCHOOL HALL, EZUMERI I, EKWUSIGO, ANAMBRA",6.000213,6.8358536,0,135,4,0
"IREFI HEALTH CLINIC I, EKWUSIGO, ANAMBRA",5.9565942,6.8511814,2,151,0,0
"IREFI HEALTH CLINIC II, EKWUSIGO, ANAMBRA",5.9565942,6.8511814,2,113,1,1
"EZEACHUGHA III, EKWUSIGO, ANAMBRA",5.9565942,6.8511814,0,75,2,1
"URUOKWE CENTRAL SCHOOL III, EKWUSIGO, ANAMBRA",5.9565942,6.8511814,1,175,5,0
"OBI INYABA PALACE SQUARE II, EKWUSIGO, ANAMBRA",5.9565942,6.8511814,3,66,4,0
"OBI INYABA PALACE SQUARE III, EKWUSIGO, ANAMBRA",5.9565942,6.8511814,0,81,1,0
"UMUONUAGWU SQUARE II, EKWUSIGO, ANAMBRA",5.9565942,6.8511814,1,126,1,0
"URUMABIAM HALL II, EKWUSIGO, ANAMBRA",5.9565942,6.8511814,0,0,0,0
"UMUEZENA HALL I, EKWUSIGO, ANAMBRA",5.9592535,6.848501,1,76,0,0
"EZEMNWELIKE HALL I, EKWUSIGO, ANAMBRA",5.9565942,6.8511814,1,173,3,0
"UMUABU PRY. SCHOOL I, EKWUSIGO, ANAMBRA",5.9394589,6.8600195,7,147,1,0
"UMUABU PRY. SCHOOL II, EKWUSIGO, ANAMBRA",5.9394589,6.8600195,3,123,0,0
"IHEMBOSI CENTRAL SCHOOL, EKWUSIGO, ANAMBRA",5.9208051,6.8793335,0,155,0,0
"UHUALOR PRY. SCHOOL I, EKWUSIGO, ANAMBRA",5.9406885,6.8700319,0,96,0,0
"UHUALOR PRY. SCHOOL II, EKWUSIGO, ANAMBRA",5.9406885,6.8700319,0,90,0,0
"OBOM MBAEZUE, EKWUSIGO, ANAMBRA",5.9565942,6.8511814,0,133,1,0
"UMUOHI HALL I, EKWUSIGO, ANAMBRA",5.9330869,6.8641162,1,134,2,1
"UMUOHI HALL II, EKWUSIGO, ANAMBRA",5.9330869,6.8641162,1,95,3,0
"UMUABU/UHUALOR SQUARE II, EKWUSIGO, ANAMBRA",5.9394589,6.8600195,1,64,0,0
"AMORA HALL, IDEMILI NORTH, ANAMBRA",6.1236562,6.9477532,13,87,4,0
"OBINAGU HALL I, IDEMILI NORTH, ANAMBRA",6.1236562,6.9477532,0,10,1,0
"OBIALUNAMMA HALL I, IDEMILI NORTH, ANAMBRA",6.1236562,6.9477532,0,25,1,0
"OBIALUNAMMA HALL II, IDEMILI NORTH, ANAMBRA",6.1236562,6.9477532,0,11,3,0
"UNION P/S II, IDEMILI NORTH, ANAMBRA",6.1236562,6.9477532,1,51,1,0
"UZUBI CENTRAL SCHOOL II, IDEMILI NORTH, ANAMBRA",6.1584248,6.9470172,6,50,0,0
